question,A,B,C,D,answer
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of","directional selection.","stabilizing selection.","sexual selection.","disruptive selection.",0
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?","a deletion of a single nucleotide","a deletion of a nucleotide triplet","a single nucleotide substitution of the nucleotide occupying the first codon position","a single nucleotide substitution of the nucleotide occupying the third codon position",0
"The energy given up by electrons as they move through the electron transport chain is used to","break down glucose","make glucose","produce ATP","make NADH",2
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT","oxygen","hydrogen","ammonia","methane",0
"Convergent evolution is best exemplified by which of the following?","The pectoral fins of fish and the front legs of cats","The presence of a notochord in all chordate embryos","The wings of an insect and the wings of a bird","The leaves of an oak tree and the spines of a cactus",2
"Which of the following would most likely provide examples of mitotic cell divisions?","cross section of muscle tissue","cross section of an anther (site of pollen production in a flower)","longitudinal section of a shoot tip","cross section of a leaf",2
"Invertebrate immune systems possess which of the following?","Cytotoxic T-lymphocytes","Phagocytes","B-cells","Helper T-cells",1
"Two unrelated species evolve in a way that makes them more similar.","Divergent evolution","Convergent evolution","Parallel evolution","Coevolution",1
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems?","The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires.","The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species.","The fires drive off herbivores whose plant-based diets reduce the amount of vegetation.","The fires dry out the soil and decrease the chance of flooding after heavy rains.",0
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?","Selection for drab coloration of the algae-eaters","Selection for nocturnal algae-eaters (active only at night)","Selection for larger female algae-eaters, bearing broods composed of more, and larger, young","Selection for algae-eaters that become sexually mature at smaller overall body sizes",2
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?","Helper T cells","Cytotoxic T cells","Memory cells","Plasma cells",2
"The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?","Evolution is progressive and tends toward a more perfect population.","Phenotype is often the result of compromise.","Natural selection reduces the frequency of maladaptive genes in populations over the course of time.","Polygenic inheritance is generally maladaptive, and should become less common in future generations.",1
"Which of the following statements is correct?","Water flows from hypertonic to hypotonic.","Germinating seeds use less oxygen than do nongerminating seeds.","The rate of transpiration decreases with an increase in air movement.","Smaller DNA fragments migrate more rapidly than do larger DNA fragments on gel electrophoresis.",3
"A gas phase is generally absent from which of the following biogeochemical cycles?","Water","Carbon","Sulfur","Phosphorus",3
"Which of the following is a property that is shared by Zika fever‚ West Nile fever‚ and malaria?","The diseases are caused by viruses.","The diseases occur only in individuals who visit or live in tropical countries.","The pathogens that cause the diseases have developed resistance to antibiotics.","The pathogens that cause the diseases are primarily transmitted by the bite of an infected mosquito.",3
"If the HMS Beagle had completely bypassed the Galapagos Islands, Darwin would have had a much poorer understanding of the","relative stability of a well-adapted population's numbers over many generations.","ability of populations to undergo modification as they adapt to a particular environment.","tendency of organisms to produce the exact number of offspring that the environment can support.","unlimited resources that support population growth in most natural environments.",1
"Which of the following statements about lipids is correct?","Unsaturated fatty acids are linked to heart disease.","Lipids make up most cell surface receptors.","Phospholipids are water soluble.","Steroids are lipids that consist of glycerol and fatty acids.",2
"All of the following are examples of connective tissue EXCEPT","ligaments","muscle","blood","cartilage",1
"The light reactions of photosynthesis supply the Calvin cycle with which of the following?","The light reactions provide oxygen for the light-independent reactions.","ATP and NADPH provide the power and raw materials for the Calvin cycle.","Water entering the plant through the roots provides hydrogen directly to the Calvin cycle.","CO2 released by the light-dependent reactions provides the raw material for the Calvin cycle.",1
