question,A,B,C,D,answer
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that","inflation had already impacted the economy before the fiscal stimulus.","the economy initially had some unemployed resources.","aggregate supply decreased.","aggregate demand is steeply sloped.",1
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens","II III and IV only","I and III only","II and IV only","III and IV only",3
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?","The price level rises but real GDP falls.","Both the price level and real GDP rise.","The price level rises but the change in real GDP is uncertain.","Real GDP rises but the change in the price level is uncertain.",3
"Tariffs and quotas","result in lower domestic prices.","sometimes raise and sometimes lower the amount of the product sold domestically.","lower the amount of the product sold domestically.","raise the amount of the product sold domestically.",2
"A likely cause of falling Treasury bond prices might be","expansionary monetary policy.","contractionary monetary policy.","a depreciating dollar.","fiscal policy designed to reduce the budget deficit.",1
"Households demand more money as an asset when","nominal GDP falls.","the nominal interest rate falls.","bond prices fall.","the supply of money falls.",1
"Allocative efficiency","means that no inferior products will be produced.","implies that the economy's output is distributed evenly.","means that those who work hardest will get more.","implies that resources are used to produce the goods and services society desires in just the right amounts.",3
"GDP measures","production within a nation's borders.","production by a nation's citizens wherever they may be.","income earned by the factors of production plus depreciation and indirect business taxes.","(A) and (C)",3
"Every choice results in a foregone best alternative which economists call the","accounting cost","switching cost","inferior cost","opportunity cost",3
"When a nation is operating at the natural rate of unemployment","there is no cyclical unemployment.","the inflation rate is zero.","there is no structural unemployment.","the nation is experiencing a recession.",0
"If a country has a negative value on its current account then it must","pay that amount to its trading partners.","have a positive value of equal magnitude on its capital account.","depreciate its currency.","appreciate its currency.",1
"Which of the following transactions would be counted in GDP?","The cash you receive from babysitting your neighbor's kids","The sale of illegal drugs","The sale of cucumbers to a pickle manufacturer","The sale of a pound of tomatoes at a supermarket",3
"If your nominal income rises 4 percent and your real income falls 1 percent by how much did the price level change?","5 percent decrease","¼ percent increase","3 percent increase","5 percent increase",3
"Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is","more effective in X because the policy will increase net exports.","more effective in X because the policy will decrease net exports.","equally effective in X and Y.","less effective in X because the policy will decrease net exports.",3
"Equilibrium real GDP is far below full employment and the government lowers household taxes. Which is the likely result?","Unemployment falls with little inflation.","Unemployment rises with little inflation.","Unemployment falls with rampant inflation.","Unemployment rises with rampant inflation.",0
"If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:","70%.","30%.","40%.","90%.",1
"Automatic or built-in stabilizers","prevent inflation.","prevent recessions from occurring.","prevent inflation and recessions from occurring.","are government policies already in place that promote deficit spending during recessions and surplus budgets during expansions.",3
"Suppose consumers expect the price of corn to be lower in the near future while the price of seed corn and fertilizer fall. What will happen to the equilibrium price and the equilibrium quantity?","The equilibrium price will rise while the equilibrium quantity is indeterminate.","The equilibrium price will fall while the equilibrium quantity is indeterminate.","The equilibrium price is indeterminate while the equilibrium quantity will rise.","The equilibrium price is indeterminate while the equilibrium quantity will fall.",1
"An increase in the demand for money in the economy could result from","a recession.","a higher price level.","higher interest rates.","expected future inflation.",1
"An increase in the consumer price index is commonly referred to as","economic growth.","inflation.","unemployment.","discouraged workers.",1
"GDP measures I. production II. income earned during the production process III. spending by consumers businesses governments and foreigners","Only I is correct.","Only II is correct.","Only III is correct.","I II and III are correct.",3
"The economy is currently operating at full employment. Assuming flexible wages and prices how would a decline in aggregate demand affect GDP and the price level in the short run and GDP and the price level in the long run? SHORT-RUN GDP     SHORT-RUN PRICE LEVEL     LONG-RUN GDP     LONG-RUN PRICE LEVEL","Falls     Falls     No change     Falls","Falls     Falls     Falls     Falls","No change     Falls     No change     No change","Falls     Falls     No change     No change",0
"If the economy is operating at full employment which of the following policies will create the most inflation in the short run?","An increase in government spending matched by an equal increase in taxes","An increase in government spending with no change in taxes","A decrease in government spending and a matching increase in taxes","A decrease in taxes with no change in government spending",1
"The real interest rate is","what one sees when looking at bank literature","the nominal interest rate divided by the inflation rate","the nominal interest rate plus the anticipated inflation rate","the nominal interest rate minus anticipated inflation",3
"Which of the following would be an example of fiat money?","Cigarettes used as money in prisons","Dollar bills","Gold coins","Arrowheads used as a medium of exchange",1
"Which of the following fiscal policies is likely to be most effective when the economy is experiencing an inflationary gap?","The government decreases taxes and keeps spending unchanged.","The government increases spending and keeps taxes unchanged.","The government increases spending matched with an increase in taxes.","The government increases taxes and decreases spending.",3
"Among those hurt by inflation are I.   borrowers at fixed interest rates II.   individuals on fixed incomes III.   those with savings earning fixed interest rates IV.   restaurant owners","I and II only","II and III only","II and IV only","II III and IV only",3
"Required reserves","can be used by banks to make loans or buy investments.","can be held in a bank's vault or its account at the FED.","must be kept in a bank's vault.","must be used to make loans.",1
"Potential GDP will fall ceteris paribus if","the unemployment rate rises.","the retirement age is lowered.","tariffs protecting domestic jobs are eliminated.","more immigration is allowed.",1
"Contractionary monetary policy implies which of the following about the discount rate the nominal interest rate and aggregate demand? Discount rate      Nominal interest rate      Aggregate demand","Decreases            Increases      Decreases","Increases            Increases      Decreases","Decreases            Decreases      Decreases","Increases            Increases      Increases",1
"Which of the following is a fundamental economic question?","Who will get how much of each good and service?","Who should pay taxes?","Who will work?","Who will make the economic decisions?",0
"Fisher's Hypothesis states that","the real interest equals the nominal interest rate plus the inflation rate.","the nominal interest rate equals the real interest rate minus the inflation rate.","the nominal interest rate equals the unemployment rate plus the real interest rate.","the nominal interest rate equals the real interest rate plus the inflation rate.",3
"The best example of a negative supply shock to the economy would be","a decrease in government spending.","a decrease in the real interest rate.","an increase in the money supply.","unexpectedly higher resource prices.",3
"According to Say's law","when price goes up supply goes up","it is better to give than receive","demand creates its own supply","supply creates its own demand",3
"What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.","The equilibrium price level increases while the equilibrium quantity of output decreases.","The equilibrium price level decreases while the equilibrium quantity of output increases.","The equilibrium price level and quantity of output increase.","The equilibrium price level and quantity of output decrease.",0
"The Federal Open Market Committee","advises the President of the United States.","is part of the Federal Reserve System.","has seven members.","promotes free trade.",1
"An increase in the price of forklifts imported into the United States from Belgium will","increase the consumer price index and the GDP deflator.","increase the consumer price index but not the GDP deflator.","increase the GDP deflator but not the consumer price index.","have no effect on the consumer price index or the GDP deflator.",3
"Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of","cyclical unemployment.","discouraged worker.","seasonal unemployment.","frictional unemployment.",2
"Keynes","advanced Classical economic theory by making several refinements.","showed how Say's Law operated in capitalist economies.","was a great American economist.","explained the cause of and cure for the Great Depression.",3
"Assume commercial banks save no excess reserves and the reserve requirement is 20 percent. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?","$800 ","$1,000 ","$4,000 ","$5,000 ",2
"Which of the following policies is most likely to bring about economic growth in the long run?","Imposing tariffs to protect domestic industries from foreign competition.","Placing taxes on savings.","Increasing government spending.","Promoting improvements in the education of the population.",3
"When a country has a balance of trade deficit","it must make up the difference by shipping gold to its creditors.","its exports exceed its imports.","its currency will appreciate.","its imports exceed its exports.",3
"National income measures","household income in the nation.","income earned by the factors of production.","GDP minus depreciation and indirect business taxes.","(B) (C) and (D).",3
"Assume the reserve requirement is 10 percent. If the FED sells $29 million worth of government securities in an open market operation then the money supply can","increase by $2.9 million.","decrease by $2.9 million.","increase by $290 million.","decrease by $290 million.",3
"The 'crowding-out' effect refers to which of the following?","Lower interest rates that result from borrowing to conduct expansionary monetary policy","Higher interest rates that result from borrowing to conduct contractionary fiscal policy","Higher interest rates that result from borrowing to conduct expansionary fiscal policy","Higher interest rates due to borrowing to conduct contractionary monetary policy",2
"Suppose transfer payments are greater than Social Security contributions corporate taxes and retained earnings combined. In that case","NDP will be greater than GDP.","NI will be greater than GDP.","PI will be greater than NI.","DPI will be greater than PI.",2
"The FED's Board of Governors has members each serving -year terms.","14 7","7 14","8 8","50 2",1
