question,A,B,C,D,answer
"An important source of information on the credit rating of retail businesses is","the Retail Merchants Association","the local chamber of commerce","Dun & Bradstreet, Inc.","the United States Retail Credit Association",2
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?","Conferencing","Discipline-based inquiry","Self-Regulated Strategy Development","Introduction-Body-Conclusion strategy",1
"Paper will burn at approximately what temperature in Fahrenheit?","986 degrees","2125 degrees","3985 degrees","451 degrees",3
"The Apple iMac computer is available in all of the following colors except which?","Tangerine","Strawberry","Kiwi","Grape",2
"What were the first names of the early American explorers Lewisand Clark?","Morgan and Mason","Meriwether and William","Cabot and Joseph","Meredith and George",1
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?","Direct instruction","Literature circle","Guided reading","Read-aloud",2
"What is varicella?","a fancy pasta","a type of opera","the chicken pox virus","ancient Roman poetry",2
"Which of the following materials has a resistance that is LEAST affected by temperature changes?","Copper","Carbon","Germanium","Silicon",0
"A second-year college student is usually called a what?","sophomore","senior","freshman","junior",0
"In the film 'The Talented Mr Ripley' who plays Mr Ripley?","Jude Law","Matt Damon","Dustin Hoffman","Ben Affleck",1
"A hard-edge painting is most likely to be characterized by","an even, solid paint application","blurry color mixed on the painting's surface","scratchy brush marks clearly separated","translucent multiple layers of paint",0
"Who was president of the United States when Bill Clinton was born?","Herbert Hoover","Harry S Truman","Franklin Roosevelt","Dwight Eisenhower",1
"Which of the following lists includes minerals only?","Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",1
"Which of the following is a likely outcome of the development and use of genetically modified plants?","Reduced cost of plant seeds","New plant varieties being patented","Increased genetic diversity within a planted field","Less oversight and fewer regulations than for unmodified crops",1
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?","Plot sequence","Point of view","Character development","Setting",0
"Which movie popularized the phrase 'You talkin' to me?'","Ghost Busters","Taxi Driver","Joker","Groundhog Day",1
"Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?","A grayish, milky fluid","Excessive fluid use","Excessive thinning of the fluid","A noisy relief valve",0
"What animal represents the year 2000 on the Chinese calendar?","dragon","rabbit","tiger","monkey",0
"Which of the following is part of a farm combine?","Beater","Conditioner","Seed plate","Furrow opener",0
"According to legend in what country are you most likely to meet a leprechaun?","Ireland","Poland","Greenland","Scotland",0
"During which of the following processes within the hydrologic cycle do water molecules absorb energy?","Formation of ice from water","Formation of a cloud from water vapor","Runoff along the land surface","Evaporation from the ocean surface",3
"What French city is home to a famous international film festival each spring?","Cannes","Marseille","Dijon","Lyon",0
