question,A,B,C,D,answer
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)? ","Meat","Confectionary","Fruits and vegetables","Potatoes",2
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant? ","If the incidence rate of the disease falls.","If survival time with the disease increases.","If recovery of the disease is faster.","If the population in which the disease is measured increases.",1
"Which of the following statements is correct? ","The flavonoid class comprises flavonoids and isoflavonoids.","The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.","ß-Carotene and lycopene can both act as provitamin A.","Carotenoids and flavonoids both belong to the polyphenol class.",0
"What are the main causes of the obesity epidemic? ","Increased energy quantity/density and a more sedentary life-style","Decreased leisure time activity","Changes in genetic profiles","None of the options given is correct",0
"Which vitamin is a major lipid-soluble antioxidant in cell membranes? ","Vitamin A","Vitamin D","Vitamin E","Vitamin K",2
"Which of the following contributes to vitamin B12 deficiency in older adults? ","Reduced secretion of intrinsic factor","Atrophic gastritis","Helicobacter pylori infection","All of the above",3
"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect? ","Testosterone","Oestrogen","Insulin-like growth factor-1","Thyroxine",1
"Which vitamin is required for calcium absorption from the small intestine? ","Vitamin A","Vitamin D","Vitamin E","Vitamin K",1
"Which of the following statements about the metabolic demand for amino acids is correct? ","The metabolic demand is supplied only from the diet,","The metabolic demand is to maintain protein turnover.","The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.","The metabolic demand is a fixed amount",2
"Which of the following statements about human amino acid requirements in human nutrition is correct? ","The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.","The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.","The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.","The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.",1
"A food additive is considered to be safe when: ","No evidence of human toxicity has been observed over the period of its use","Estimated Daily Intake (EDI) from its presence in food is less than its ADI","Its toxic effects are observed only at doses 100x the EDI","Its benefits outweigh its risks",1
"Which of the following statements is true: ","Childhood stunting before 24 months of age affects short term cognitive performance","Childhood stunting before 24 months of age affects long term cognitive performance","Neither of the statements are correct","Both of the statements are correct",3
"What role do women play in food security? ","Their main role is preparing meals.","They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.","They weed the fields, but never plough or plant them, as only men are strong enough for those activities.","Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.",1
"The following amino acids are all essential components of the diet: ","leucine, methionine and threonine","proline, tyrosine and serine","valine, glycine and arginine","leucine, cysteine and glycine",0
"Which single statement about fat digestion and absorption is correct? ","Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum","After absorption, medium chain triglycerides (MCT) enter the lymphatic system, whereas long chain triglycerides enter the portal blood system.","The products of partial digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this increases absorption","Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported",3
"Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality? ","Palmitic acid (16:0)","Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids","á-linolenic acid (18:3)","Stearic acid (18:0)",1
"Crohn's disease: ","Always affects the colon","May lead to intestinal obstruction","Is best treated surgically","Requires a gluten free diet",1
"Which of the following is true about the diagnosis of 'osteopenia' or 'osteoporosis' in North America and Western Europe ","Women over age 80 with osteopenia have above average bone mineral density for their age","Fewer than 10% of women over age 50 have osteopenia","Fewer than 50% of women over age 80 have osteopenia or osteoporosis","Osteoporosis is defined as a bone density lower than 2.5 standard deviations below the average for age-matched controls.",0
"Which country has undergone the most rapid nutrition transition in the last two decades? ","China","Sweden","Britain","India",0
"Acute binge drinking is associated with? ","Happy heart syndrome","Home heart syndrome","Beach heart syndrome","Holiday heart syndrome",3
