question,A,B,C,D,answer
"Aesthetics deals with objects that are_____.","essential to our existence","unimportant to most people","not essential to our existence","rarely viewed",2
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.","the state","the justice system","the body","the soul",3
"According to Kant, nothing can be called “good” without qualification except _____.","right action","good consequences","happiness","a good will",3
"Plato's view is that true beauty is _____.","found in everyday objects","nonexistent","everywhere in the natural world","not of this world",3
"In Aristotle’s terminology, incontinence is when:","one does not know that one’s actions are wrong.","one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",1
"Nagel claims that most skeptical arguments:","are the result of applying arbitrarily stringent standards.","are based on linguistic confusions.","are logically self-refuting.","grow from the consistent application of ordinary standards.",3
"Rawls conceives of the original contract as one to:","enter a particular society.","set up a particular form of government.","establish the principles of justice for the basic structure of society.","establish the content of morality.",2
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.","drastic changes to both our personal habits and to our society.",3
"For Socrates, the soul is harmed by lack of _____.","knowledge","wealth","community","courage",0
"According to Kant, morality requires us to:","perform the action that leads to the greatest total happiness.","act only on maxims that we can will to become universal laws.","behave only in such a way as a perfectly virtuous person would behave.","place the interests of others above the interests of ourselves.",1
"According to Gauthier, the basis of morality is:","maximizing the utility of all sentient beings.","God’s commands.","the agreement of rational persons choosing the terms of their interaction.","the purposive order of nature.",2
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:","religion.","physics.","psychology.","art.",2
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:","duty.","justice.","virtue.","supererogation.",1
"Berkeley asserts that existing and perceiving are _____.","one and the same thing","both nonexistent","two distinct things","imaginary",0
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.","rational","artificial","constitutional","fair",3
"Berkeley believes that sensible things cannot exist except in _____.","a mind","absolute existence","material substance","a material universe",0
"Singer claims that his argument upsets the traditional distinction between:","duty and charity.","egoism and altruism.","rights and privileges.","positive and negative rights.",0
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.","to what we sincerely believe is true about the Forms based on our experiences in the world.","beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.",3
"What was Clarence Darrow's belief about life's meaning?","Life was not worthwhile.","Life was hard but worthwhile.","Life was uncertain but ultimately rewarding.","Life was meaningful for most people.",0
