question,A,B,C,D,answer
"Which of the following statements expresses a relationship between aging and sexual functioning","Aging is related to an increase in vaginal lubrication","Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes","There is no significant relationship between aging and sexual responses in either sex","Aging is related to some loss of erectile rigidity in the male",3
"According to Piaget, children are ___________.","“Blank slates”","Less intelligent than adults","“Little scientists”","Shaped by culture",2
"If a test has a standard error of measurement of 15 points, itis correct to conclude that","about 68% of the observed scores for the test population lie within 15 points of the mean score","about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score","about 15% of the scores are in error (i.e., they are not measuring the trait reliably)","differences of up to 30 points represent the same true score",1
"Any substance that can have a negative impact on fetal development is ___________.","An Apgar","A teratogen","Only a problem in the first 6 weeks","A controlled substance",1
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:","needs analysis.","job evaluation.","summative evaluation.","formative evaluation.",0
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:","a useful strategy for helping the client understand the present.","a way for the client to avoid coming to terms with the present.",""the ""second layer"" of therapy."",""a way for achieving ""closure"" near the end of therapy."",1
"In regard to memory, aging is most closely associated with a decline in","the efficiency of controlled memory processes","metamemory skills, or knowledge about memory","recognition memory","the amount of factual memory knowledge available",0
"A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from","Parkinson's disease","Vascular Dementia","a right frontal lobe tumor","Alzheimer's disease",0
"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly","unethical, because the client's needs were not addressed more directly","unethical, because the psychologist should have delayed the trip and given the client an appointment for that afternoon","unethical, because the psychologist should have called a physician directly","ethical, because it was not possible to determine whether or not the client was being manipulative",0
"A family therapist using the structural approach of Salvador Minuchin would most likely:","clarify boundaries between family members in order to reduce enmeshment.","work initially with the most differentiated family member.",""use a multiple-therapist team to prevent any one therapist from becoming ""triangulated"" into the family system."",""issue specific ""directives"" designed to counteract dysfunctional processes."",0
"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)—half of whom have an alcoholic parent and half of whom do not—into a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:","A true experiment","A cross-sequential cohort design","A natural experiment","A cross-sectional cohort design",1
"Focal damage to the portion of the left frontal lobe known as Broca's area is likely to impair","recall of words","verbal comprehension","verbal learning","production of speech",3
"According to Gerald Patterson and his colleagues (1992), which of the following is a key contributor to aggressive behavior in children?","the child’s intelligence.","the child’s “basic personality.”","the strength of the parent-child attachment.","the parents’ childrearing behaviors",3
